EnvName,IsProd,Inteface,WorkerTypeName,WorkerTypeWeight,WorkerTypeCpu,WorkerTypeMemory,Amount,TotalOrgWorkers,RemainingOrgWorkers,LastUpdateTime,FileName,MuleVer,MuleVer_support_EndBy,Region,PersistentQueues,MonitoringEnabled,StaticIPsEnabled,BinaryFileName,Status,DeploymentUpdateStatus,DeploymentErrorMessage
dev,N,test001-dev,Micro,0.1,0.1 vCores,500 MB memory,1,1,0.2,2020-06-10T18:08,testtimeout-1.0.0-SNAPSHOT-mule-application.jar,4.1.6,2020-11-03,us-east-2,false,true,false,testtimeout-1.0.0-SNAPSHOT-mule-application.jar,STARTED,DEPLOY_FAILED,
dev,N,test002-dev,Micro,0.1,0.1 vCores,500 MB memory,1,1,0.1,2020-06-09T17:50,testtimeout-1.0.0-SNAPSHOT-mule-application.jar,4.3.0,2022-11-02,us-east-2,false,true,false,testtimeout-1.0.0-SNAPSHOT-mule-application.jar,UNDEPLOYED,,
dev,N,test001-dev-proxy,Micro,0.1,0.1 vCores,500 MB memory,1,1,0.2,2020-06-08T17:30,test001-dev-proxy-api-gateway.jar,4.3.0,2022-11-02,us-east-2,false,true,false,test001-dev-proxy-api-gateway.jar,STARTED,,
dev,N,test-003-dev,Micro,0.1,0.1 vCores,500 MB memory,1,1,0.2,2020-06-09T17:53,test-1.0.0-SNAPSHOT-mule-application.jar,4.3.0,2022-11-02,us-east-2,false,true,false,test-1.0.0-SNAPSHOT-mule-application.jar,STARTED,,
dev,N,sd-anypoint-platform-usage-metrics-dev,Micro,0.1,0.1 vCores,500 MB memory,1,1,0.2,2020-06-10T23:09,hf-anypoint-platform-usage-metrics-1.0.0-SNAPSHOT-mule-application.jar,4.3.0,2022-11-02,us-east-2,false,true,false,hf-anypoint-platform-usage-metrics-1.0.0-SNAPSHOT-mule-application.jar,STARTED,,
dev,N,anypoint-platform-usage-metrics,Micro,0.1,0.1 vCores,500 MB memory,1,1,0.2,2020-06-28T21:37,anypoint-platform-usage-metrics-1.0.0-SNAPSHOT-mule-application.jar,4.3.0,2022-11-02,us-east-2,false,true,false,anypoint-platform-usage-metrics-1.0.0-SNAPSHOT-mule-application.jar,STARTED,,
rt,N,test001-rt,Micro,0.1,0.1 vCores,500 MB memory,1,1,0.2,2020-06-11T21:00,testtimeout-1.0.0-SNAPSHOT-mule-application.jar,4.2.2,2021-05-03,us-east-2,false,true,false,testtimeout-1.0.0-SNAPSHOT-mule-application.jar,STARTED,,
rt,N,test002-rt,Micro,0.1,0.1 vCores,500 MB memory,1,1,0.2,2020-06-06T03:58,testtimeout-1.0.0-SNAPSHOT-mule-application.jar,4.3.0,2022-11-02,us-east-2,false,true,false,testtimeout-1.0.0-SNAPSHOT-mule-application.jar,STARTED,,
st,N,test001-st,Micro,0.1,0.1 vCores,500 MB memory,1,1,0.2,2020-06-11T21:00,testtimeout-1.0.0-SNAPSHOT-mule-application.jar,4.2.2,2021-05-03,us-east-2,false,true,false,testtimeout-1.0.0-SNAPSHOT-mule-application.jar,STARTED,,
st,N,test002-st,Micro,0.1,0.1 vCores,500 MB memory,1,1,0.2,2020-06-06T03:57,testtimeout-1.0.0-SNAPSHOT-mule-application.jar,4.3.0,2022-11-02,us-east-2,false,true,false,testtimeout-1.0.0-SNAPSHOT-mule-application.jar,STARTED,,
